"Area","MTU","Solar - Actual Aggregated [MW] (D - 1)","Solar - Actual Aggregated [MW] (D)"
"BZN|ES","03.01.2024 23:15 - 03.01.2024 23:30 (CET/CEST)","4","8"
"BZN|ES","03.01.2024 23:30 - 03.01.2024 23:45 (CET/CEST)","4","8"
"BZN|ES","03.01.2024 23:45 - 04.01.2024 00:00 (CET/CEST)","4","8"
"BZN|ES","05.01.2024 00:00 - 05.01.2024 00:15 (CET/CEST)","8","36"
"BZN|ES","05.01.2024 00:15 - 05.01.2024 00:30 (CET/CEST)","8","36"
"BZN|ES","05.01.2024 00:30 - 05.01.2024 00:45 (CET/CEST)","8","36"
"BZN|ES","05.01.2024 00:45 - 05.01.2024 01:00 (CET/CEST)","8","36"
"BZN|ES","05.01.2024 01:00 - 05.01.2024 01:15 (CET/CEST)","8","36"
"BZN|ES","05.01.2024 01:15 - 05.01.2024 01:30 (CET/CEST)","8","36"
"BZN|ES","05.01.2024 01:30 - 05.01.2024 01:45 (CET/CEST)","8","36"
"BZN|ES","05.01.2024 01:45 - 05.01.2024 02:00 (CET/CEST)","8","36"
"BZN|ES","05.01.2024 02:00 - 05.01.2024 02:15 (CET/CEST)","8","36"
"BZN|ES","05.01.2024 02:15 - 05.01.2024 02:30 (CET/CEST)","8","36"
"BZN|ES","05.01.2024 02:30 - 05.01.2024 02:45 (CET/CEST)","8","36"
"BZN|ES","05.01.2024 02:45 - 05.01.2024 03:00 (CET/CEST)","8","36"
"BZN|ES","05.01.2024 03:00 - 05.01.2024 03:15 (CET/CEST)","8","36"
"BZN|ES","05.01.2024 03:15 - 05.01.2024 03:30 (CET/CEST)","8","36"
"BZN|ES","05.01.2024 03:30 - 05.01.2024 03:45 (CET/CEST)","8","36"
"BZN|ES","05.01.2024 03:45 - 05.01.2024 04:00 (CET/CEST)","8","36"
"BZN|ES","05.01.2024 04:00 - 05.01.2024 04:15 (CET/CEST)","8","36"
"BZN|ES","05.01.2024 04:15 - 05.01.2024 04:30 (CET/CEST)","8","36"
